key,instatiationUpdateMoment,startDisplay,end-display,picture-link,slogan,target-link
banner-21,2020/03/14 15:32,2024/02/28 00:00,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-22,2020/03/14 15:32,2024/02/29 15:32,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-23,2020/03/14 15:32,2020/03/31 23:59,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-24,2020/03/14 15:32,2020/04/01 00:00,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-25,2020/03/14 15:32,2023/07/30 15:32,2023/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-26,2020/03/14 15:32,2023/07/30 15:32,2023/08/06 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-27,2020/03/14 15:32,2023/07/30 15:32,2023/08/06 15:33,https://example.com/1,Just do it better?,https://example.com/1
banner-28,2020/03/14 15:32,2023/07/30 15:32,2200/12/12 23:59,https://example.com/1,Just do it better?,https://example.com/1
banner-29,2020/03/14 15:32,2023/07/30 15:32,2200/12/12 23:58,https://example.com/1,Just do it better?,https://example.com/1
banner-30,2020/03/14 15:32,2023/07/30 15:32,2023/12/31 23:59,https://example.com/1,Just do it better?,https://example.com/1
banner-31,2020/03/14 15:32,2023/07/30 15:32,2024/01/01 00:00,https://example.com/1,Just do it better?,https://example.com/1
banner-32,2020/03/14 15:32,2023/07/30 15:32,2024/02/27 23:59,https://example.com/1,Just do it better?,https://example.com/1
banner-33,2020/03/14 15:32,2023/07/30 15:32,2024/02/28 00:00,https://example.com/1,Just do it better?,https://example.com/1
banner-34,2020/03/14 15:32,2023/07/30 15:32,2024/02/29 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-35,2020/03/14 15:32,2023/07/30 15:32,2020/03/31 23:59,https://example.com/1,Just do it better?,https://example.com/1
banner-36,2020/03/14 15:32,2023/07/30 15:32,2020/04/01 00:00,https://example.com/1,Just do it better?,https://example.com/1
banner-37,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,Just do it better?,https://example.com/1
banner-38,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,http://ejemplo255defghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwjklñajsdklfjñlaskjdlñfjalñsasdkjñ9puijdominioasdfasdkfjañlkajsdlfñkjlñasjdfñljsjdflñkjañlskdjfñlkajsdlñfkklasjdflkjmsfkjmaskldjfkjsdsada.xyz,Just do it better?,https://example.com/1
banner-39,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,http://ejemplo254defghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwjklñajsdklfjñlaskjdlñfjalñsasdkjñ9puijdominioasdfasdkfjañlkajsdlfñkjlñasjdfñljsjdflñkjañlskdjfñlkajsdlñfkklasjdflkjmsfkjmaskldjfkjsdsada.xy,Just do it better?,https://example.com/1
banner-40,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,http://a.c,Just do it better?,https://example.com/1
banner-41,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,http://a.bc,Just do it better?,https://example.com/1
banner-42,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,ftp://user:password@ftp.example.org:8080/files/file.txt,Just do it better?,https://example.com/1
banner-43,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,a,https://example.com/1
banner-44,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,ab,https://example.com/1
banner-45,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,ejemploabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdejkljañlkajs,https://example.com/1
banner-46,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,ejemploabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdejkljañlkaj,https://example.com/1
banner-47,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,عندما تكون مستعدًا، ابدأ ال,https://example.com/1
banner-48,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,洛雷姆·伊普苏姆,https://example.com/1
banner-49,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,Лорем Ипсум,https://example.com/1
banner-50,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,κείμενο,https://example.com/1
banner-51,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,*/``´`ç!?'¿|º¨¨¡(´´,https://example.com/1
banner-52,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,मूलपाठ,https://example.com/1
banner-53,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,<script>alert('hi')</script>,https://example.com/1
banner-54,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,SELECT * FROM users WHERE username = '' OR 1=1,https://example.com/1
banner-55,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,Just do it better?,http://ejemplo255defghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwjklñajsdklfjñlaskjdlñfjalñsasdkjñ9puijdominioasdfasdkfjañlkajsdlfñkjlñasjdfñljsjdflñkjañlskdjfñlkajsdlñfkklasjdflkjmsfkjmaskldjfkjsdsada.xyz
banner-56,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,Just do it better?,http://ejemplo254defghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwjklñajsdklfjñlaskjdlñfjalñsasdkjñ9puijdominioasdfasdkfjañlkajsdlfñkjlñasjdfñljsjdflñkjañlskdjfñlkajsdlñfkklasjdflkjmsfkjmaskldjfkjsdsada.xy
banner-57,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,Just do it better?,http://a.c
banner-58,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,Just do it better?,http://a.bc
banner-59,2020/03/14 15:32,2023/07/30 15:32,2024/07/30 15:32,https://example.com/1,Just do it better?,ftp://user:password@ftp.example.org:8080/files/file.txt
