key,code,registrationTime,dueDate,invoiceQuantity,tax,link,draft-mode,key:sponsorship
invoice-46,IN-0001-0043,2020/03/14 15:32,2023/03/14 15:32,CAD 0.01,50.00,https://example.com/invoices,false,sponsorship-68
invoice-47,IN-0001-0044,2020/03/14 15:32,2023/03/14 15:32,CAD 0.02,50.00,https://example.com/invoices,false,sponsorship-66
invoice-48,IN-0001-0045,2020/03/14 15:32,2023/03/14 15:32,"CAD 1,000,000.00",50.00,https://example.com/invoices,false,sponsorship-69
invoice-49,IN-0001-0046,2020/03/14 15:32,2023/03/14 15:32,"CAD 999,999.99",50.00,https://example.com/invoices,false,sponsorship-70
invoice-50,IN-0001-0047,2020/03/14 15:32,2023/03/14 15:32,"CAD 500,000.00",50.00,https://example.com/invoices,false,sponsorship-71
invoice-51,IN-0001-0048,2020/03/14 15:32,2023/03/14 15:32,"EUR 1,000.00",50.00,https://example.com/invoices,false,sponsorship-54
invoice-52,IN-0001-0049,2020/03/14 15:32,2023/03/14 15:32,EUR 0.01,50.00,https://example.com/invoices,false,sponsorship-56
invoice-53,IN-0001-0050,2020/03/14 15:32,2023/03/14 15:32,EUR 0.02,50.00,https://example.com/invoices,false,sponsorship-54
invoice-54,IN-0001-0051,2020/03/14 15:32,2023/03/14 15:32,"EUR 1,000,000.00",50.00,https://example.com/invoices,false,sponsorship-57
invoice-55,IN-0001-0052,2020/03/14 15:32,2023/03/14 15:32,"EUR 999,999.99",50.00,https://example.com/invoices,false,sponsorship-58
invoice-56,IN-0001-0053,2020/03/14 15:32,2023/03/14 15:32,"EUR 500,000.00",50.00,https://example.com/invoices,false,sponsorship-59
invoice-57,IN-0001-0054,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,00.00,https://example.com/invoices,false,sponsorship-01
invoice-58,IN-0001-0055,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,00.01,https://example.com/invoices,false,sponsorship-01
invoice-59,IN-0001-0056,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,100.00,https://example.com/invoices,false,sponsorship-01
invoice-60,IN-0001-0057,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,99.99,https://example.com/invoices,false,sponsorship-01
invoice-61,IN-0001-0058,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,https://example.com/invoices,false,sponsorship-01
invoice-62,IN-0001-0059,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,https://www.example.com/abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuv,false,sponsorship-01
invoice-63,IN-0001-0060,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,https://www.example.com/abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstu,false,sponsorship-01
invoice-64,IN-0001-0061,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,http://a.c,false,sponsorship-01
invoice-65,IN-0001-0062,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,http://a.cb,false,sponsorship-01
invoice-66,IN-0001-0063,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,ftp://user:password@ftp.example.org:8080/files/file.txt,true,sponsorship-01
invoice-67,IN-2345-0064,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,ftp://,false,sponsorship-01
invoice-68,IN-2345-0065,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,ftp://a,false,sponsorship-01
invoice-69,IN-2345-0066,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,ftp://a.b,false,sponsorship-01
invoice-70,IN-2345-0067,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",false,sponsorship-01
invoice-71,IN-2345-0068,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",false,sponsorship-01
invoice-72,IN-2345-0069,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,https://www.lorem-ipsum.org,false,sponsorship-01
invoice-73,IN-2345-0070,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,ftp://www.lorem-ipsum.org,false,sponsorship-01
invoice-74,IN-2345-0071,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,http://www.lorem-ipsum.org/dolor/sit.html,false,sponsorship-01
invoice-75,IN-2345-0072,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,http://www.lorem-ipsum.org/dolor/sit.html#dolor,false,sponsorship-01
invoice-76,IN-2345-0073,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,http://example.org?a=1&b=2,false,sponsorship-01
invoice-77,IN-2345-0074,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,http://example.org?,false,sponsorship-01
invoice-78,IN-2345-0075,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,http://example.org?a,false,sponsorship-01
invoice-79,IN-2345-0076,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,http://example.org?a&b,false,sponsorship-01
invoice-80,IN-2345-0077,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,http://example.org/,false,sponsorship-01
invoice-81,IN-2345-0078,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,http://example.org/a,false,sponsorship-01
invoice-82,IN-2345-0079,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,http://example.org/a/b,false,sponsorship-01
invoice-83,IN-2345-0080,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,http://example.org/a/b?,false,sponsorship-01
invoice-84,IN-2345-0081,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,http://example.org/a/b?a&b,false,sponsorship-01
invoice-85,IN-0002-0082,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,https://example.com/invoices,false,sponsorship-02
invoice-86,IN-0002-0083,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,https://example.com/invoices,true,sponsorship-02
invoice-87,IN-0002-0084,2020/03/14 15:32,2023/03/14 15:32,USD 50.00,50.00,https://example.com/invoices,true,sponsorship-02
